feature_code,name,type,date,smokes,household_type,sex,long_term_condition,age,smok_lower_ci,smok_upper_ci,smok_percent
S12000039,West Dunbartonshire,Local Authority,2017,No,All,Male,All,All,68.9,84.1,76.5
S12000045,East Dunbartonshire,Local Authority,2012,No,All,Male,All,All,85.4,95,90.2
S08000019,Forth Valley,NHS Health Board,2015,No,All,Male,All,All,76.6,84.3,80.4
S12000042,Dundee City,Local Authority,2017,No,All,Male,All,All,71.7,83.9,77.8
S08000015,Ayrshire and Arran,NHS Health Board,2015,No,All,Male,All,All,72.3,79.8,76.1
S08000015,Ayrshire and Arran,NHS Health Board,2013,No,All,Male,All,All,69.6,79.5,74.5
S12000028,South Ayrshire,Local Authority,2017,No,All,Male,All,All,78.2,90.1,84.2
S08000017,Dumfries and Galloway,NHS Health Board,2015,No,All,Male,All,All,71,82.2,76.6
S08000017,Dumfries and Galloway,NHS Health Board,2017,No,All,Male,All,All,71.8,83.8,77.8
S12000029,South Lanarkshire,Local Authority,2017,No,All,Male,All,All,75.5,83.9,79.7
S12000035,Argyll and Bute,Local Authority,2014,No,All,Male,All,All,69.8,87.2,78.5
S12000017,Highland,Local Authority,2013,No,All,Male,All,All,77.4,87.4,82.4
S12000005,Clackmannanshire,Local Authority,2013,No,All,Male,All,All,67.1,84.5,75.8
S08000032,Lanarkshire,NHS Health Board,2013,No,All,Male,All,All,71.1,77.9,74.5
S12000019,Midlothian,Local Authority,2014,No,All,Male,All,All,67.9,84.2,76
S08000025,Orkney,NHS Health Board,2015,No,All,Male,All,All,69.1,86.1,77.6
S12000039,West Dunbartonshire,Local Authority,2012,No,All,Male,All,All,58.5,76.5,67.5
S12000018,Inverclyde,Local Authority,2014,No,All,Male,All,All,71.3,86.1,78.7
S12000021,North Ayrshire,Local Authority,2018,No,All,Male,All,All,69.3,81.8,75.5
S08000032,Lanarkshire,NHS Health Board,2012,No,All,Male,All,All,69.5,76.4,73
S12000048,Perth and Kinross,Local Authority,2019,Yes,All,Male,All,All,9.5,23.5,16.5
S12000014,Falkirk,Local Authority,2015,No,All,Male,All,All,72.8,84.2,78.5
S12000050,North Lanarkshire,Local Authority,2019,Yes,All,Male,All,All,15,24,19.5
S12000049,Glasgow City,Local Authority,2019,Yes,All,Male,All,All,21.5,28.5,25
S12000045,East Dunbartonshire,Local Authority,2019,Yes,All,Male,All,All,3.5,10.5,7
S12000039,West Dunbartonshire,Local Authority,2018,No,All,Male,All,All,70.7,86.4,78.6
S08000029,Fife,NHS Health Board,2016,No,All,Male,All,All,73.3,82.2,77.8
S08000028,Western Isles,NHS Health Board,2019,No,All,Male,All,All,70.5,86.5,78.5
S12000027,Shetland Islands,Local Authority,2017,No,All,Male,All,All,65.8,83.2,74.5
S12000030,Stirling,Local Authority,2017,No,All,Male,All,All,85,94.4,89.7
S12000010,East Lothian,Local Authority,2015,No,All,Male,All,All,71.2,85.4,78.3
S12000042,Dundee City,Local Authority,2015,No,All,Male,All,All,67.1,81.4,74.2
S12000033,Aberdeen City,Local Authority,2014,No,All,Male,All,All,71.6,81.7,76.7
S12000040,West Lothian,Local Authority,2012,No,All,Male,All,All,62.6,77.4,70
S12000014,Falkirk,Local Authority,2013,No,All,Male,All,All,70.2,81.8,76
S08000016,Borders,NHS Health Board,2014,Yes,All,Male,All,All,14.6,25.9,20.3
S12000036,City of Edinburgh,Local Authority,2012,No,All,Male,All,All,72.6,80.3,76.4
S08000028,Western Isles,NHS Health Board,2013,No,All,Male,All,All,64.8,80.4,72.6
S08000024,Lothian,NHS Health Board,2013,Yes,All,Male,All,All,18,23.4,20.7
S12000034,Aberdeenshire,Local Authority,2014,Yes,All,Male,All,All,17,27.5,22.3
S12000036,City of Edinburgh,Local Authority,2016,No,All,Male,All,All,76.3,83,79.7
S12000035,Argyll and Bute,Local Authority,2016,No,All,Male,All,All,73.9,86.1,80
S12000029,South Lanarkshire,Local Authority,2015,Yes,All,Male,All,All,16.9,25.9,21.4
S12000034,Aberdeenshire,Local Authority,2013,Yes,All,Male,All,All,16.2,28.2,22.2
S08000031,Greater Glasgow and Clyde,NHS Health Board,2013,Yes,All,Male,All,All,23.8,28.9,26.3
S08000015,Ayrshire and Arran,NHS Health Board,2014,Yes,All,Male,All,All,18.6,26.2,22.4
S12000014,Falkirk,Local Authority,2015,Yes,All,Male,All,All,15.6,26.7,21.1
S12000041,Angus,Local Authority,2012,Yes,All,Male,All,All,19.4,33.6,26.5
S12000036,City of Edinburgh,Local Authority,2013,Yes,All,Male,All,All,18.3,25.3,21.8
S12000030,Stirling,Local Authority,2015,Yes,All,Male,All,All,7.5,18.6,13
S12000005,Clackmannanshire,Local Authority,2015,Yes,All,Male,All,All,15.1,35.3,25.2
S12000013,Na h-Eileanan Siar,Local Authority,2012,Yes,All,Male,All,All,20.1,35.9,28
S12000023,Orkney Islands,Local Authority,2014,Yes,All,Male,All,All,13.2,27.7,20.5
S08000015,Ayrshire and Arran,NHS Health Board,2013,Yes,All,Male,All,All,20,29.8,24.9
S12000045,East Dunbartonshire,Local Authority,2012,Yes,All,Male,All,All,5,14.6,9.8
S12000034,Aberdeenshire,Local Authority,2017,Yes,All,Male,All,All,10.7,19.7,15.2
S08000016,Borders,NHS Health Board,2013,Yes,All,Male,All,All,13.6,26.4,20
S12000011,East Renfrewshire,Local Authority,2012,Yes,All,Male,All,All,9.6,23.3,16.4
S12000020,Moray,Local Authority,2012,Yes,All,Male,All,All,16.3,29.7,23
S12000039,West Dunbartonshire,Local Authority,2013,Yes,All,Male,All,All,20.3,34.4,27.3
